control,replication,effect
shift,63,0.018158103132564545
shift,64,-0.009129917312943367
shift,65,-0.030535665585741792
shift,66,0.05847364797701458
shift,67,-0.059166913989246124
shift,68,0.0020242154757992644
shift,69,-0.11215574008961335
shift,70,0.08404115657783992
shift,71,0.014883350035940652
shift,72,-0.02924427207020452
shift,73,-0.0011083511012857353
shift,74,-0.0358864195245794
shift,75,-0.0007826537267205557
shift,76,0.03187553187883251
shift,77,-0.06132937320050198
shift,78,0.09977992284374736
shift,79,-0.015581719161083044
shift,80,-0.014460538443103839
shift,81,-0.03909084008151238
shift,82,-0.025614571285262833
shift,83,-0.03712220877404515
shift,84,0.08123991433332775
shift,85,0.030397617384644793
shift,86,-0.01637367662113282
shift,87,0.05665001876601939
shift,88,0.016920669562354933
shift,89,-0.07994973554099193
shift,90,0.013123425623746977
shift,91,0.04121919381847297
shift,92,-0.015951145778647226
shift,93,0.04526452805165882
shift,94,-0.04657505350241169
shift,95,0.011425761618622804
shift,96,-0.0032971218610999705
shift,97,-0.055280088310244814
shift,98,0.017855548511778282
shift,99,-0.041000907862567014
shift,100,0.060504032271656065
