function,kind,documentation
object_schema,export,man/object_schema.Rd
open_partitioned_eye_storage,export,man/open_partitioned_eye_storage.Rd
package_reproducibility_manifest,export,man/package_reproducibility_manifest.Rd
partition_eye_storage,export,man/partition_eye_storage.Rd
plot.eye_dynamic_irtree,export,man/plot.eye_dynamic_irtree.Rd
plot.eye_dynamic_ppc,export,man/plot.eye_dynamic_ppc.Rd
plot.eye_functional_pupil_diagnostics,export,man/plot.eye_functional_pupil_diagnostics.Rd
plot.eye_functional_pupil_irt,export,man/plot.eye_functional_pupil_irt.Rd
plot.eye_functional_pupil_sensitivity,export,man/plot.eye_functional_pupil_sensitivity.Rd
plot.eye_model_promotion_audit,export,man/plot.eye_model_promotion_audit.Rd
plot.eye_roundtrip_loss_audit,export,man/plot.eye_roundtrip_loss_audit.Rd
plot.eye_storage_benchmark,export,man/plot.eye_storage_benchmark.Rd
plot.eye_strategy_aoi_sensitivity,export,man/plot.eye_strategy_aoi_sensitivity.Rd
plot.eye_transition_diagnostics,export,man/plot.eye_transition_diagnostics.Rd
plot.eye_vendor_compatibility_matrix,export,man/plot.eye_vendor_compatibility_matrix.Rd
plot_interval_coverage,export,man/plot_interval_coverage.Rd
plot_parameter_recovery,export,man/plot_parameter_recovery.Rd
plot_sbc_rank,export,man/plot_sbc_rank.Rd
plot_validation_failures,export,man/plot_validation_failures.Rd
plot_validation_runtime,export,man/plot_validation_runtime.Rd
predict.eye_multinomial_transition,export,man/predict.eye_multinomial_transition.Rd
prepare_dynamic_irtree_data,export,man/prepare_dynamic_irtree_data.Rd
prepare_functional_pupil_data,export,man/prepare_functional_pupil_data.Rd
prepare_gaze_diffusion_data,export,man/prepare_gaze_diffusion_data.Rd
prepare_strategy_mixture_data,export,man/prepare_strategy_mixture_data.Rd
print.eye_benchmark_reproduction,export,man/print.eye_benchmark_reproduction.Rd
print.eye_benchmark_study,export,man/print.eye_benchmark_study.Rd
print.eye_benchmark_validation,export,man/print.eye_benchmark_validation.Rd
print.eye_diffusion_diagnostics,export,man/print.eye_diffusion_diagnostics.Rd
print.eye_diffusion_identification_study,export,man/print.eye_diffusion_identification_study.Rd
print.eye_dynamic_irtree,export,man/print.eye_dynamic_irtree.Rd
print.eye_dynamic_ppc,export,man/print.eye_dynamic_ppc.Rd
print.eye_dynamic_recovery,export,man/print.eye_dynamic_recovery.Rd
print.eye_engine_adapter_result,export,man/print.eye_engine_adapter_result.Rd
print.eye_functional_pupil_data,export,man/print.eye_functional_pupil_data.Rd
print.eye_functional_pupil_diagnostics,export,man/print.eye_functional_pupil_diagnostics.Rd
print.eye_functional_pupil_irt,export,man/print.eye_functional_pupil_irt.Rd
print.eye_functional_pupil_sensitivity,export,man/print.eye_functional_pupil_sensitivity.Rd
print.eye_functional_scalar_comparison,export,man/print.eye_functional_scalar_comparison.Rd
print.eye_gaze_diffusion_data,export,man/print.eye_gaze_diffusion_data.Rd
print.eye_gaze_diffusion_irt,export,man/print.eye_gaze_diffusion_irt.Rd
print.eye_gaze_diffusion_spec,export,man/print.eye_gaze_diffusion_spec.Rd
print.eye_model_contract_validation,export,man/print.eye_model_contract_validation.Rd
print.eye_model_promotion_audit,export,man/print.eye_model_promotion_audit.Rd
print.eye_multinomial_transition,export,man/print.eye_multinomial_transition.Rd
print.eye_partition_spec,export,man/print.eye_partition_spec.Rd
print.eye_partitioned_storage,export,man/print.eye_partitioned_storage.Rd
print.eye_redaction_result,export,man/print.eye_redaction_result.Rd
print.eye_roundtrip_loss_audit,export,man/print.eye_roundtrip_loss_audit.Rd
print.eye_strategy_data,export,man/print.eye_strategy_data.Rd
print.eye_strategy_manipulation_validation,export,man/print.eye_strategy_manipulation_validation.Rd
print.eye_theory_strategy_irt,export,man/print.eye_theory_strategy_irt.Rd
print.eye_theory_strategy_spec,export,man/print.eye_theory_strategy_spec.Rd
print.eye_transition_design,export,man/print.eye_transition_design.Rd
print.eye_transition_diagnostics,export,man/print.eye_transition_diagnostics.Rd
print.eye_validation_case_fingerprint,export,man/print.eye_validation_case_fingerprint.Rd
print.eye_validation_collection,export,man/print.eye_validation_collection.Rd
print.eye_validation_completion_audit,export,man/print.eye_validation_completion_audit.Rd
print.eye_validation_job_plan,export,man/print.eye_validation_job_plan.Rd
print.eye_validation_run,export,man/print.eye_validation_run.Rd
print.eye_vendor_case,export,man/print.eye_vendor_case.Rd
print.eye_vendor_compatibility_matrix,export,man/print.eye_vendor_compatibility_matrix.Rd
print.eye_vendor_semantic_comparison,export,man/print.eye_vendor_semantic_comparison.Rd
promote_vendor_support,export,man/promote_vendor_support.Rd
prune_validation_checkpoints,export,man/prune_validation_checkpoints.Rd
pupil_preprocessing_grid,export,man/pupil_preprocessing_grid.Rd
pupil_preprocessing_sensitivity,export,man/pupil_preprocessing_sensitivity.Rd
query_eye_storage,export,man/query_eye_storage.Rd
read_benchmark_table,export,man/read_benchmark_table.Rd
read_validation_job_manifest,export,man/read_validation_job_manifest.Rd
read_vendor_registry,export,man/read_vendor_registry.Rd
redact_validation_case,export,man/redact_validation_case.Rd
register_validation_case,export,man/register_validation_case.Rd
register_vendor_semantics,export,man/register_vendor_semantics.Rd
resume_validation_jobs,export,man/resume_validation_jobs.Rd
run_benchmark_reproduction,export,man/run_benchmark_reproduction.Rd
run_validation_jobs,export,man/run_validation_jobs.Rd
simulate_dynamic_irtree_data,export,man/simulate_dynamic_irtree_data.Rd
simulate_gaze_diffusion_data,export,man/simulate_gaze_diffusion_data.Rd
simulate_strategy_mixture_data,export,man/simulate_strategy_mixture_data.Rd
split_validation_plan,export,man/split_validation_plan.Rd
storage_transaction_manifest,export,man/storage_transaction_manifest.Rd
strategy_aoi_sensitivity,export,man/strategy_aoi_sensitivity.Rd
strategy_classification_uncertainty,export,man/strategy_classification_uncertainty.Rd
strategy_label_switching_diagnostics,export,man/strategy_label_switching_diagnostics.Rd
strategy_posterior_probabilities,export,man/strategy_posterior_probabilities.Rd
structural_transition_mask,export,man/structural_transition_mask.Rd
summary.eye_validation_job_plan,export,man/summary.eye_validation_job_plan.Rd
theory_strategy_spec,export,man/theory_strategy_spec.Rd
transition_residual_diagnostics,export,man/transition_residual_diagnostics.Rd
upgrade_eye_dataset,export,man/upgrade_eye_dataset.Rd
upgrade_eyeprocess_model,export,man/upgrade_eyeprocess_model.Rd
validate_benchmark_study,export,man/validate_benchmark_study.Rd
validate_engine_adapter,export,man/validate_engine_adapter.Rd
validate_eye_storage_metadata,export,man/validate_eye_storage_metadata.Rd
validate_model_object,export,man/validate_model_object.Rd
validate_strategy_manipulation,export,man/validate_strategy_manipulation.Rd
validation_calibration_summary,export,man/validation_calibration_summary.Rd
validation_failure_summary,export,man/validation_failure_summary.Rd
validation_job_plan,export,man/validation_job_plan.Rd
validation_recovery_summary,export,man/validation_recovery_summary.Rd
validation_runtime_summary,export,man/validation_runtime_summary.Rd
validation_sbc_summary,export,man/validation_sbc_summary.Rd
validation_seed,export,man/validation_seed.Rd
validation_thresholds,export,man/validation_thresholds.Rd
verify_reproducibility_manifest,export,man/verify_reproducibility_manifest.Rd
write_benchmark_data_dictionary,export,man/write_benchmark_data_dictionary.Rd
write_model_promotion_report,export,man/write_model_promotion_report.Rd
write_partitioned_eye_storage,export,man/write_partitioned_eye_storage.Rd
write_software_paper_reproduction,export,man/write_software_paper_reproduction.Rd
write_validation_job_manifest,export,man/write_validation_job_manifest.Rd
write_validation_release_report,export,man/write_validation_release_report.Rd
write_vendor_case_report,export,man/write_vendor_case_report.Rd
write_vendor_registry,export,man/write_vendor_registry.Rd
