person_id,item_id,response,probability,rt_ms,pupil,dwell_ms,device
P006,I04,0,0.584825,972.027,3.1241,619.04,GP3
P006,I05,0,0.494706,1246.352,3.2973,576.92,GP3
P006,I06,0,0.390906,990.553,3.0441,431.51,GP3
P006,I07,0,0.283613,1506.964,3.1103,450.15,GP3
P006,I08,0,0.187234,1710.594,3.2573,540.97,GP3
P007,I01,1,0.905687,1420.114,3.2465,459.73,GP3
P007,I02,1,0.900836,1508.547,3.2239,199.08,GP3
P007,I03,1,0.890147,1714.809,3.2718,376.7,GP3
P007,I05,1,0.843077,1198.942,3.3348,427.93,GP3
P007,I06,1,0.800369,1356.471,3.3701,482.24,GP3
P007,I08,1,0.650961,995.307,3.4491,338.64,GP3
P008,I01,1,0.884365,1505.352,3.3508,323.06,GP3
P008,I03,1,0.859942,2170.34,3.4223,463.44,GP3
P008,I04,0,0.833892,1025.651,3.1364,492.31,GP3
P008,I05,1,0.794849,1374.451,3.1841,419.4,GP3
P008,I06,1,0.738233,1144.188,3.086,354.65,GP3
P008,I07,1,0.658909,1083.557,3.2118,308.75,GP3
P008,I08,0,0.555198,1289.557,3.2137,602.32,GP3
P009,I01,1,0.829631,1809.108,3.412,239.95,GP3
P009,I02,1,0.810497,1373.736,3.2527,374.64,GP3
P009,I04,0,0.733917,1285.055,3.2733,422.39,GP3
P009,I05,1,0.669555,1053.604,3.389,525.45,GP3
P009,I06,0,0.584002,1434.135,3.2983,320.31,GP3
P009,I08,0,0.360177,1426.05,3.213,538.8,GP3
P010,I01,0,0.767308,1344.755,3.3043,403.58,GP3
P010,I02,1,0.735124,1822.853,3.3925,430.03,GP3
P010,I04,1,0.621847,1225.469,3.269,523.75,GP3
P010,I05,1,0.536524,1388.928,3.1996,455.19,GP3
P010,I06,0,0.434573,1339.697,3.3467,471.93,GP3
P010,I07,0,0.324413,890.934,3.1284,448.5,GP3
P010,I08,0,0.220581,1219.321,3.1827,473.25,GP3
P011,I01,0,0.890988,1109.829,3.134,480.86,GP3
P011,I02,1,0.883677,1227.735,3.2291,372.49,GP3
P011,I03,1,0.869414,1951.606,3.3074,345.62,GP3
P011,I04,1,0.845745,1581.936,3.4772,460.96,GP3
P011,I05,1,0.809971,1403.316,3.3844,321.47,GP3
P011,I06,1,0.757586,1524.188,3.2577,411.38,GP3
P011,I07,0,0.683171,1509.128,3.1207,454.0,GP3
P011,I08,1,0.583925,1319.247,3.1872,380.67,GP3
P012,I01,1,0.822537,1484.26,3.1677,434.76,GP3
P012,I02,0,0.801939,1464.936,3.2397,511.37,GP3
P012,I04,1,0.720928,1324.413,3.2741,414.34,GP3
P012,I05,1,0.65368,1195.417,3.3603,520.25,GP3
P012,I06,1,0.565351,1276.28,3.1736,460.54,GP3
P012,I08,0,0.340355,1465.649,3.1879,481.54,GP3
P013,I01,1,0.907329,1335.259,3.4271,419.89,GP3
P013,I02,1,0.90274,1189.901,3.3372,334.17,GP3
P013,I03,1,0.892434,1620.211,3.2859,405.1,GP3
P013,I04,1,0.874482,1747.441,3.3431,509.46,GP3
P013,I05,1,0.846723,1233.944,3.3717,326.25,GP3
P013,I06,0,0.80511,1263.863,3.1508,471.89,GP3
P013,I07,1,0.74406,1347.738,3.1632,410.7,GP3
P013,I08,1,0.658686,1521.36,3.2257,432.85,GP3
P014,I01,1,0.909343,2211.939,3.1212,371.61,GP3
P014,I02,1,0.905071,1442.057,3.1629,375.34,GP3
P014,I03,1,0.895232,1531.581,3.1995,362.33,GP3
P014,I04,1,0.877963,1334.227,3.3668,397.94,GP3
P014,I06,1,0.810909,1250.144,3.2691,314.71,GP3
P014,I07,1,0.751609,1199.279,3.359,415.75,GP3
P014,I08,0,0.668215,1202.405,3.1202,460.75,GP3
P015,I01,1,0.85914,1536.483,3.3907,398.86,GP3
P015,I02,1,0.845928,1230.198,3.3167,431.26,GP3
P015,I03,1,0.82333,1240.404,3.3149,520.17,GP3
P015,I04,1,0.788063,1404.191,3.137,571.42,GP3
P015,I05,1,0.736818,1423.448,3.3736,348.49,GP3
P015,I07,0,0.57054,1200.596,3.2342,631.66,GP3
P015,I08,1,0.455759,1189.536,3.329,402.94,GP3
P016,I01,1,0.893666,2427.981,3.0438,451.78,GP3
P016,I02,1,0.886818,1546.976,3.3105,339.1,GP3
P016,I03,1,0.873223,1885.269,3.2946,457.41,GP3
P016,I04,1,0.850508,1625.035,3.2712,249.83,GP3
P016,I05,1,0.816055,1358.832,3.2518,468.45,GP3
P016,I06,0,0.765409,1347.433,3.119,287.2,GP3
P016,I07,1,0.693069,1462.507,3.1277,496.61,GP3
P016,I08,0,0.59582,1366.309,3.2377,294.18,GP3
P017,I02,1,0.872052,1173.495,3.3729,375.9,GP3
P017,I03,1,0.855276,1728.912,3.4187,383.93,GP3
P017,I04,1,0.828049,1233.638,3.3468,467.47,GP3
P017,I05,1,0.787409,1634.13,3.2558,446.47,GP3
P017,I06,1,0.728762,1056.185,3.3068,394.8,GP3
P017,I07,1,0.647154,1675.413,3.2994,477.87,GP3
P017,I08,0,0.5415,979.008,3.2036,277.94,GP3
P018,I01,1,0.836057,1638.906,3.3077,369.2,GP3
P018,I02,1,0.818237,1507.246,3.177,476.31,GP3
P018,I03,1,0.789339,1183.592,3.3122,381.13,GP3
P018,I04,1,0.745704,1479.095,3.205,558.43,GP3
P018,I05,1,0.684053,1393.818,3.2032,497.94,GP3
P018,I06,0,0.601221,1298.599,3.2066,548.48,GP3
P018,I07,1,0.49697,1543.962,3.3393,378.57,GP3
P019,I01,1,0.896845,1493.785,3.2167,381.1,GP3
P019,I02,0,0.890538,1368.649,3.3228,479.83,GP3
P019,I03,1,0.877726,1524.124,3.3246,366.85,GP3
P019,I04,1,0.856137,1729.845,3.3517,422.63,GP3
P019,I05,1,0.823251,1315.667,3.1838,377.09,GP3
P019,I06,1,0.774684,1314.515,3.3242,327.06,GP3
P019,I07,1,0.704871,1263.361,3.2283,332.34,GP3
P020,I01,1,0.602758,1308.632,3.2892,465.71,GP3
P020,I02,1,0.539843,1042.365,3.3579,398.52,GP3
P020,I03,0,0.460996,1333.473,3.1399,499.46,GP3
P020,I05,0,0.275226,1173.143,3.2362,385.55,GP3
P020,I06,0,0.188054,1536.458,3.164,365.53,GP3
P020,I07,0,0.117334,1326.216,3.1722,433.25,GP3
P020,I08,0,0.067138,1505.325,3.2889,561.6,GP3
P021,I01,1,0.826516,1988.954,3.3259,397.26,Other
P021,I02,1,0.80674,1570.708,3.2773,322.53,Other
P021,I03,1,0.775219,1241.075,3.2031,374.29,Other
P021,I04,1,0.728209,1045.099,3.3575,468.13,Other
P021,I05,1,0.662566,1274.22,3.3271,380.77,Other
P021,I06,0,0.575763,1092.324,3.2023,341.11,Other
P021,I07,1,0.468863,941.629,3.3191,419.15,Other
P021,I08,1,0.35133,1233.169,3.2893,445.64,Other
P022,I01,1,0.68245,1338.472,3.307,342.39,Other
P022,I03,1,0.56657,1589.889,3.2814,471.54,Other
P022,I04,1,0.482365,1182.237,3.265,430.32,Other
P022,I05,1,0.384992,1197.828,3.3212,355.91,Other
P022,I06,1,0.283982,1129.567,3.2828,431.24,Other
P022,I07,0,0.191244,895.519,3.2139,558.23,Other
P022,I08,0,0.11738,1425.749,3.2817,505.59,Other
P023,I01,1,0.840076,1498.076,3.39,188.04,Other
P023,I02,1,0.823073,1926.699,3.3724,486.36,Other
P023,I03,1,0.795278,1347.985,3.2873,361.68,Other
P023,I04,0,0.753082,1295.988,3.1864,449.28,Other
P023,I05,1,0.693172,1427.11,3.2372,523.1,Other
P023,I06,0,0.612142,1157.602,3.152,477.88,Other
P023,I07,1,0.509221,890.942,3.2176,409.31,Other
P023,I08,0,0.391521,1365.455,3.1341,445.17,Other
P024,I01,0,0.664629,1042.097,3.2266,426.65,Other
P024,I02,0,0.612047,1315.843,3.2857,490.6,Other
P024,I03,1,0.542169,1389.249,3.2055,485.21,Other
P024,I06,0,0.259212,1554.296,3.2828,524.37,Other
P024,I07,0,0.17135,1655.662,3.174,342.18,Other
P024,I08,0,0.103356,1083.428,3.0221,328.77,Other
P025,I01,1,0.953154,1841.828,3.2692,366.08,Other
P025,I02,1,0.954325,1478.436,3.1818,450.5,Other
P025,I03,1,0.9529,1566.812,3.3027,375.04,Other
P025,I04,1,0.948415,1827.391,3.3476,381.9,Other
P025,I05,1,0.940447,1435.228,3.3967,341.15,Other
P025,I06,1,0.927498,1770.551,3.047,440.44,Other
P025,I07,1,0.906995,1648.531,3.247,379.67,Other
P026,I01,1,0.936039,1709.176,3.3358,330.99,Other
P026,I02,1,0.93547,1614.768,3.3208,442.73,Other
P026,I03,1,0.931226,1335.485,3.3065,301.75,Other
P026,I04,1,0.922328,1777.434,3.4382,467.8,Other
P026,I05,1,0.907736,1550.273,3.1799,398.93,Other
P026,I06,1,0.884899,1330.899,3.2579,335.98,Other
P026,I07,1,0.849699,1267.536,3.2115,415.25,Other
P026,I08,1,0.796806,928.948,3.1866,497.37,Other
P027,I01,1,0.868308,1445.736,3.2403,410.29,Other
P027,I02,0,0.856859,1727.172,3.0985,336.76,Other
P027,I04,1,0.804813,2139.006,3.3707,372.25,Other
P027,I06,1,0.691589,1720.959,3.3405,333.6,Other
P027,I07,0,0.6018,1734.938,3.1756,470.99,Other
P027,I08,0,0.490003,1427.676,3.1632,291.86,Other
P028,I01,1,0.92382,1469.034,3.4365,381.77,Other
P028,I02,1,0.92168,1573.596,3.3212,275.93,Other
P028,I03,1,0.915026,2120.257,2.9749,480.96,Other
P028,I04,1,0.902476,1501.803,3.2476,456.77,Other
P028,I05,1,0.882506,1427.578,3.2585,315.47,Other
P028,I06,0,0.85185,1747.825,3.0984,524.33,Other
P028,I07,1,0.805529,1250.192,3.3467,379.82,Other
P028,I08,1,0.73786,1536.053,3.4007,323.06,Other
P029,I01,1,0.806885,1521.821,3.2291,303.2,Other
P029,I05,1,0.619234,1390.883,3.2817,531.67,Other
P029,I06,1,0.525629,1134.257,3.2729,485.81,Other
P029,I07,0,0.415358,1464.464,3.129,300.15,Other
P030,I01,1,0.912705,1929.167,3.2414,480.98,Other
P030,I02,1,0.908951,1028.695,3.1457,390.88,Other
P030,I03,1,0.899879,1304.404,3.2509,495.67,Other
P030,I04,1,0.883737,1225.123,3.2325,511.03,Other
P030,I05,1,0.858566,1354.525,3.2457,526.5,Other
P030,I06,1,0.820542,1310.705,3.2339,342.09,Other
P030,I07,1,0.764199,1161.254,3.3035,588.54,Other
P031,I01,0,0.830016,1691.866,3.2701,386.44,Other
P031,I02,1,0.810962,1250.147,3.3576,358.74,Other
P031,I04,1,0.734623,1085.08,3.1527,372.65,Other
P031,I05,1,0.670422,989.231,3.1907,345.22,Other
P031,I06,1,0.585026,1768.313,3.2999,401.26,Other
P031,I07,1,0.479016,1133.53,3.1871,383.39,Other
P031,I08,1,0.361287,1067.749,3.2221,412.26,Other
P032,I01,1,0.822402,1428.818,3.3532,391.76,Other
P032,I02,1,0.801776,1716.725,3.3052,406.77,Other
P032,I03,1,0.769125,1297.361,3.2715,256.76,Other
P032,I04,1,0.720681,1283.897,3.4548,359.61,Other
P032,I05,1,0.65338,1421.957,3.3472,488.49,Other
P032,I06,1,0.565,1040.059,3.163,407.02,Other
P032,I07,1,0.457169,936.175,3.2039,444.53,Other
P032,I08,0,0.339989,969.999,3.0558,373.68,Other
P033,I01,1,0.816017,1081.119,3.2936,387.99,Other
P033,I02,1,0.794065,1555.21,3.2513,577.51,Other
P033,I04,0,0.709023,1572.362,3.2291,570.83,Other
P033,I05,1,0.639228,1631.069,3.3555,359.59,Other
P033,I06,1,0.548559,1392.13,3.2862,457.65,Other
P033,I07,1,0.439526,1191.049,3.2179,386.04,Other
P033,I08,1,0.323136,1371.909,3.1752,414.17,Other
P034,I01,1,0.88105,1564.741,3.2005,272.2,Other
P034,I02,0,0.87197,1318.883,3.2603,477.28,Other
P034,I03,1,0.855177,1050.603,3.2166,492.29,Other
P034,I04,1,0.827924,1632.858,3.158,418.77,Other
P034,I05,0,0.78725,1095.264,3.066,640.31,Other
P034,I06,1,0.728561,1335.484,3.2106,424.23,Other
P034,I07,1,0.646905,1412.555,3.3892,338.33,Other
P035,I01,0,0.484382,1112.754,3.096,570.64,Other
P035,I02,1,0.408016,1818.431,3.447,349.44,Other
P035,I03,1,0.322865,1381.956,3.0771,234.54,Other
P035,I04,1,0.237135,1499.198,3.1825,429.19,Other
P035,I05,0,0.160195,1724.945,3.2556,592.96,Other
P035,I06,1,0.099425,1692.305,3.1841,376.64,Other
P035,I07,0,0.056718,1714.379,3.1792,449.99,Other
P035,I08,0,0.029966,1849.573,3.1599,409.62,Other
P036,I01,1,0.790137,1367.655,3.2428,515.2,Other
P036,I02,1,0.762756,1319.759,3.2226,274.37,Other
P036,I03,0,0.72135,1559.64,3.1393,454.04,Other
P036,I04,1,0.662238,1594.862,3.3095,313.35,Other
P036,I05,0,0.583399,1087.89,3.2621,397.37,Other
P036,I06,0,0.48542,1375.522,3.26,473.4,Other
P036,I07,0,0.374212,1727.543,3.2877,339.81,Other
P036,I08,1,0.263392,1853.414,3.2435,416.04,Other
P037,I01,1,0.889411,1313.291,3.3518,503.58,Other
P037,I02,1,0.881824,1415.537,3.2256,471.15,Other
P037,I03,0,0.867165,1554.381,3.2725,533.02,Other
P037,I04,1,0.842932,1823.81,3.2569,422.03,Other
P037,I05,1,0.806378,1502.856,3.2623,414.42,Other
P037,I06,0,0.752976,1575.011,3.2514,433.4,Other
P037,I07,1,0.677363,1342.124,3.1499,249.19,Other
P037,I08,0,0.576992,1423.347,3.2171,505.01,Other
P038,I01,0,0.894707,1788.916,3.2144,417.05,Other
P038,I02,0,0.888038,1827.35,3.2613,569.29,Other
P038,I03,1,0.8747,1594.395,3.3667,308.45,Other
P038,I04,1,0.852355,2103.874,3.3569,379.13,Other
P038,I05,1,0.818416,1375.87,3.2599,420.91,Other
P038,I06,0,0.768448,1572.139,3.2116,462.05,Other
P038,I07,1,0.696929,1133.515,3.2446,336.86,Other
P038,I08,1,0.600486,1513.095,3.2723,423.67,Other
P039,I01,1,0.837404,1378.471,3.2975,374.36,Other
P039,I02,0,0.819859,1708.367,3.2962,531.92,Other
P039,I03,0,0.791331,1466.471,3.3046,395.85,Other
P039,I04,1,0.748178,1422.113,3.3952,449.29,Other
P039,I05,1,0.687107,1434.543,3.1674,487.95,Other
P039,I06,0,0.604871,1353.973,3.4668,397.37,Other
P039,I07,1,0.501051,1226.095,3.3291,444.8,Other
P039,I08,0,0.383252,1008.253,3.208,407.67,Other
P040,I01,0,0.68996,1031.103,3.2207,341.91,Other
P040,I04,1,0.493925,1568.333,3.2095,342.47,Other
P040,I05,0,0.396916,1523.982,3.097,477.13,Other
P040,I06,1,0.295067,1378.185,3.1869,319.84,Other
P040,I07,0,0.200329,1711.75,3.1511,334.83,Other
P040,I08,0,0.123906,1512.099,3.0849,595.26,Other
