function,module,category,status,evidence_class,documentation,tests
fit_process_observation_model,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
fit_joint_signal_missingness,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
process_pattern_mixture,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
sensitivity_mnar_process,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
plot_observation_probability,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
plot_missingness_by_time,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
plot_missingness_by_aoi,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
plot_mnar_tipping_point,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
plot_complete_case_sensitivity,038-informative-missingness.R,informative missingness,implemented,reference_implementation,grouped_Rd,targeted
gaze_recurrence,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
cross_recurrence,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
windowed_recurrence,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
recurrence_features,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
plot_recurrence_matrix,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
plot_windowed_recurrence,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
plot_diagonal_recurrence_profile,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
plot_crossmodal_recurrence,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
plot_recurrence_network,039-recurrence-analysis.R,recurrence analysis,implemented,reference_implementation,grouped_Rd,targeted
fit_fixation_point_process,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
fit_marked_gaze_process,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
predict_fixation_intensity,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
diagnose_gaze_point_process,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
plot_fixation_intensity,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
plot_spatial_residuals,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
plot_temporal_excitation_kernel,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
plot_covariate_effect_surface,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
plot_observed_expected_fixations,040-fixation-point-process.R,fixation point process,implemented,reference_implementation,grouped_Rd,targeted
representative_scanpath,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
scanpath_dispersion,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
compare_scanpath_distributions,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
bootstrap_representative_scanpath,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
plot_scanpath_atlas,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
plot_representative_scanpath,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
plot_scanpath_dispersion,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
plot_group_scanpath_transport,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
plot_scanpath_similarity_matrix,041-representative-scanpaths.R,representative scanpaths,implemented,reference_implementation,grouped_Rd,targeted
detect_process_changepoints,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
segment_process_episodes,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
label_process_episodes,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
compare_episode_structure,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
plot_process_episodes,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
plot_changepoint_ribbons,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
plot_episode_waterfall,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
plot_episode_transition_graph,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
plot_episode_duration_distribution,042-process-episodes.R,process episodes,implemented,reference_implementation,grouped_Rd,targeted
item_objective_spec,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
item_pareto_front,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
optimize_item_bank,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
audit_bank_decision_stability,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
plot_item_pareto,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
plot_objective_tradeoffs,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
plot_bank_information_coverage,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
plot_decision_stability,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
plot_selected_bank_profile,043-item-bank-optimization.R,item bank optimization,implemented,reference_implementation,grouped_Rd,targeted
fit_process_dif,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
monitor_dif_drift,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
decompose_dif_evidence,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
audit_fairness_transportability,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
plot_group_icc_process_overlay,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
plot_process_dif_forest,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
plot_dif_drift_heatmap,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
plot_fairness_transport_matrix,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
plot_item_group_process_curves,044-process-dif-fairness.R,process dif fairness,implemented,reference_implementation,grouped_Rd,targeted
fit_process_norms,045-process-norms.R,process norms,implemented,reference_implementation,grouped_Rd,targeted
predict_process_centiles,045-process-norms.R,process norms,implemented,reference_implementation,grouped_Rd,targeted
score_process_deviation,045-process-norms.R,process norms,implemented,reference_implementation,grouped_Rd,targeted
audit_norm_transportability,045-process-norms.R,process norms,implemented,reference_implementation,grouped_Rd,targeted
plot_process_centiles,045-process-norms.R,process norms,implemented,reference_implementation,grouped_Rd,targeted
plot_normative_fan,045-process-norms.R,process norms,implemented,reference_implementation,grouped_Rd,targeted
plot_person_normative_profile,045-process-norms.R,process norms,implemented,reference_implementation,grouped_Rd,targeted
plot_item_normative_deviation,045-process-norms.R,process norms,implemented,reference_implementation,grouped_Rd,targeted
build_evidence_graph,046-evidence-provenance-graph.R,evidence provenance graph,implemented,reference_implementation,grouped_Rd,targeted
trace_item_decision,046-evidence-provenance-graph.R,evidence provenance graph,implemented,reference_implementation,grouped_Rd,targeted
compare_decision_provenance,046-evidence-provenance-graph.R,evidence provenance graph,implemented,reference_implementation,grouped_Rd,targeted
audit_evidence_dependencies,046-evidence-provenance-graph.R,evidence provenance graph,implemented,reference_implementation,grouped_Rd,targeted
plot_evidence_graph,046-evidence-provenance-graph.R,evidence provenance graph,implemented,reference_implementation,grouped_Rd,targeted
plot_item_decision_path,046-evidence-provenance-graph.R,evidence provenance graph,implemented,reference_implementation,grouped_Rd,targeted
plot_metric_dependency_graph,046-evidence-provenance-graph.R,evidence provenance graph,implemented,reference_implementation,grouped_Rd,targeted
plot_model_decision_impact,046-evidence-provenance-graph.R,evidence provenance graph,implemented,reference_implementation,grouped_Rd,targeted
fit_process_missingness_model,047-measurement-intelligence-adapters.R,measurement intelligence adapters,implemented,reference_implementation,grouped_Rd,targeted
crossmodal_recurrence_model,047-measurement-intelligence-adapters.R,measurement intelligence adapters,implemented,reference_implementation,grouped_Rd,targeted
